GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",9741,583
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",4734,624
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5211,471
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5127,491
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2420,356
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8523,724
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4779,568
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,12
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",4785,416
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3100,272
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4703,535
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5853,613
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1253,180
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3676,356
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3710,410
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",225,186
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",1454,252
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",6706,674
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",1414,274
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",6311,706
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",6752,743
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",5036,480
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",4775,484
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",1985,620
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",4223,433
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",4897,499
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",5646,638
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",5428,406
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",1877,246
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",3538,486
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",5840,815
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",2308,293
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",2600,437
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",1503,357
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",3569,367
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",7244,833
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",5447,532
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",4021,626
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",5588,712
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",7697,959
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",2964,470
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",6915,539
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",4326,496
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",2268,429
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",5764,567
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",3886,430
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",4085,428
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",4394,539
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",5638,697
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",1887,171
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",6978,996
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",6385,742
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",5355,681
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",2470,475
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",5650,655
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",3833,406
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",6072,693
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",3101,466
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",3773,426
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",5230,568
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",6578,688
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",2469,426
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",4775,500
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",150,163
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",4551,435
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",1594,217
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",5130,504
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",5721,434
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",2983,332
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",1462,259
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",3582,411
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",3792,471
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",2008,328
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",3357,359
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",1017,165
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",5108,520
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",6924,629
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",6708,802
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",3603,481
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",3197,470
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",3448,391
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",833,201
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",5378,619
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",6106,586
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",5860,557
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",5436,617
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",4369,515
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",6203,591
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",2559,276
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",4095,532
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",3457,483
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",3174,409
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",1278,183
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",2547,438
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",4050,597
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",4541,452
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",1756,248
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",228,165
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",1015,133
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",1287,245
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",2372,362
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",2186,318
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",1741,366
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",3,5
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",6377,812
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",7086,669
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",3999,620
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",4875,712
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",4961,628
1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",3662,517
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",3393,368
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",5491,572
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",4346,376
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",3985,475
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",3945,476
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",6766,475
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",7957,845
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",5244,500
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",2098,310
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",7397,628
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",8035,564
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",7395,518
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",4615,445
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",4048,426
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",2315,330
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",2805,423
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",6847,706
