GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",8430,536
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",5095,488
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5572,432
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5412,451
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2569,381
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8959,801
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4860,510
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5143,487
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3172,282
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4683,484
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5746,507
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1538,186
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3852,437
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3753,397
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",199,106
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",1303,248
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",6580,756
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",1550,291
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",6483,577
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",7599,879
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",5841,598
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",4830,482
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",1659,233
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",4024,500
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",5040,592
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",5791,620
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",5814,405
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",2128,222
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",3305,387
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",6334,752
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",2391,388
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",2856,506
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",1192,186
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",4007,329
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",7682,753
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",4480,473
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",3565,624
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",5847,562
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",7782,907
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",2976,434
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",7769,826
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",4646,514
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",2358,290
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",5981,703
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",3735,436
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",3724,375
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",4932,444
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",5853,670
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",1904,225
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",6868,960
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",6099,565
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",5974,574
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",2447,345
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",6324,784
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",3916,487
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",6406,794
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",3540,375
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",3824,326
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",5397,500
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",6265,663
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",2557,314
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",4922,435
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",205,135
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",4446,520
