GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",7703,416,763,161,4846,360,13,17,122,56,0,16,1855,208,104,58,59,38,45,36
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",5403,632,2303,668,1127,329,9,15,226,206,0,16,1496,490,242,174,9,15,233,173
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5915,377,2081,438,2112,354,14,22,38,41,0,16,1567,434,103,87,0,16,103,87
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5879,529,2291,518,2199,499,0,16,0,16,0,16,1307,513,82,86,64,83,18,27
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2591,344,494,110,890,215,0,11,55,34,0,11,1024,210,128,84,70,67,58,50
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8516,990,2628,643,3497,733,158,152,278,267,0,16,1512,480,443,440,203,216,240,366
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4774,491,866,266,1981,471,96,72,0,11,0,11,1710,376,121,84,33,29,88,80
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",150,213,78,110,72,103,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5355,470,1208,422,1182,261,0,16,214,206,0,16,2586,540,165,123,121,110,44,49
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3016,281,522,247,1132,232,0,11,0,11,0,11,1312,313,50,45,43,43,7,13
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4778,594,774,305,1535,338,51,82,0,11,0,11,2283,579,135,130,81,103,54,66
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5299,527,172,128,4048,553,0,16,92,108,0,16,509,331,478,400,305,300,173,210
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1466,216,244,113,440,177,0,11,32,31,0,11,686,188,64,63,0,11,64,63
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3912,420,593,252,1590,346,68,107,0,11,0,11,1570,349,91,70,20,32,71,62
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3948,390,394,165,1176,321,18,21,0,11,0,11,2188,428,172,129,110,82,62,77
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",246,102,93,73,44,36,0,11,0,11,0,11,109,64,0,11,0,11,0,11
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",1193,262,377,194,545,190,0,11,22,20,0,11,234,155,15,18,5,9,10,16
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",6614,784,1230,546,1297,423,73,97,0,16,0,16,4014,809,0,16,0,16,0,16
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",1419,181,387,115,168,94,0,11,307,174,0,11,506,155,51,29,22,23,29,24
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",6476,502,1113,500,2081,577,0,16,11,17,0,16,3061,661,210,238,29,29,181,237
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",7120,806,1912,634,3793,836,84,131,143,152,0,16,1051,459,137,92,46,61,91,83
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",6057,550,798,246,1793,437,98,97,0,16,8,13,3185,561,175,175,28,21,147,173
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",4754,422,672,224,1975,354,16,21,80,83,0,11,1814,460,197,116,157,112,40,41
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",1869,262,572,218,763,281,8,13,0,11,0,11,478,243,48,54,44,55,4,9
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",3999,427,439,194,1111,400,16,19,97,115,0,11,2112,444,224,220,71,78,153,207
