GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",7703,416
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",5403,632
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5915,377
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5879,529
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2591,344
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8516,990
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4774,491
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",150,213
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5355,470
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3016,281
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4778,594
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5299,527
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1466,216
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3912,420
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3948,390
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",246,102
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",1193,262
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",6614,784
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",1419,181
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",6476,502
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",7120,806
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",6057,550
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",4754,422
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",1869,262
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",3999,427
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",4885,503
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",5650,610
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",5653,437
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",2277,221
