GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",10453,759,1474,234,6107,597,6,11,207,95,0,89,2437,283,222,80,141,57,81,68
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",4403,558,727,331,1414,419,39,48,160,180,0,89,2005,646,58,44,17,25,41,35
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5017,488,614,259,1362,300,0,89,149,141,0,89,2768,520,124,75,30,26,94,73
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5263,465,848,257,2121,352,0,89,0,89,0,89,2151,506,143,104,67,92,76,52
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",1926,323,962,316,603,285,28,43,12,16,0,89,314,205,7,20,7,20,0,89
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8432,801,1209,491,3402,523,0,89,0,89,0,89,3608,892,213,189,93,102,120,164
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",5040,537,1797,477,1947,511,25,32,0,89,0,89,1175,408,96,69,0,89,96,69
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",4878,504,2404,513,1213,281,14,26,24,44,0,89,1099,386,124,85,100,73,24,37
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3128,283,838,387,1757,422,0,89,0,89,0,89,475,304,58,40,23,26,35,36
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4674,626,1100,341,1793,461,22,35,0,89,0,89,1662,443,97,96,49,52,48,70
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",6056,708,283,147,4451,770,22,36,19,29,0,89,1160,603,121,141,102,136,19,31
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1243,242,259,155,531,257,0,89,15,24,0,89,438,254,0,89,0,89,0,89
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3707,352,1424,458,1581,398,0,89,0,89,0,89,633,267,69,75,61,79,8,13
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",4111,543,1076,321,1158,327,0,89,0,89,0,89,1779,633,98,77,51,60,47,57
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",187,180,44,67,3,5,0,89,0,89,0,89,140,169,0,89,0,89,0,89
