GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1328,95
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1430,287
1400000US36005000500,36005000500,"Census Tract 5, Bronx County, New York",-,**
1400000US36005001100,36005001100,"Census Tract 11, Bronx County, New York",569,184
1400000US36005001500,36005001500,"Census Tract 15, Bronx County, New York",-,**
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",816,50
1400000US36005001700,36005001700,"Census Tract 17, Bronx County, New York",1079,321
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",371,49
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",368,55
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",520,89
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",459,184
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",595,77
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",818,39
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",878,39
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",518,174
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",675,196
1400000US36005003600,36005003600,"Census Tract 36, Bronx County, New York",652,61
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",1041,184
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",950,498
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",798,63
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",848,131
1400000US36005004002,36005004002,"Census Tract 40.02, Bronx County, New York",-,**
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",403,176
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",579,136
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",382,78
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",710,99
1400000US36005004700,36005004700,"Census Tract 47, Bronx County, New York",333,55
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",936,39
1400000US36005004900,36005004900,"Census Tract 49, Bronx County, New York",288,295
1400000US36005005000,36005005000,"Census Tract 50, Bronx County, New York",877,42
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",750,204
1400000US36005005301,36005005301,"Census Tract 53.01, Bronx County, New York",-,**
1400000US36005005302,36005005302,"Census Tract 53.02, Bronx County, New York",774,210
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",971,64
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",907,80
1400000US36005005700,36005005700,"Census Tract 57, Bronx County, New York",796,532
1400000US36005005800,36005005800,"Census Tract 58, Bronx County, New York",-,**
1400000US36005005901,36005005901,"Census Tract 59.01, Bronx County, New York",909,46
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",960,37
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",889,111
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",650,44
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",547,136
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",1168,89
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",795,80
1400000US36005006600,36005006600,"Census Tract 66, Bronx County, New York",973,46
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",504,71
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",1100,57
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",569,84
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",1078,113
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",333,211
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",981,46
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",694,115
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",765,59
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",538,57
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",910,200
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",1067,69
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",500,55
1400000US36005008100,36005008100,"Census Tract 81, Bronx County, New York",-,**
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",792,79
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",1247,572
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",790,79
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",483,60
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",763,93
1400000US36005008800,36005008800,"Census Tract 88, Bronx County, New York",392,140
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",658,112
1400000US36005009100,36005009100,"Census Tract 91, Bronx County, New York",-,**
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",1133,73
1400000US36005009400,36005009400,"Census Tract 94, Bronx County, New York",1412,216
1400000US36005009700,36005009700,"Census Tract 97, Bronx County, New York",-,**
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1135,152
1400000US36005009900,36005009900,"Census Tract 99, Bronx County, New York",873,41
1400000US36005010200,36005010200,"Census Tract 102, Bronx County, New York",-,**
1400000US36005010500,36005010500,"Census Tract 105, Bronx County, New York",1139,477
