GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",9741,583,1421,195,5706,511,7,13,202,77,0,17,2205,219,200,77,144,64,56,48
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",4734,624,837,347,1508,426,37,46,274,251,0,12,2021,603,57,45,20,23,37,36
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5211,471,948,323,1583,284,0,17,114,142,0,17,2471,476,95,68,19,18,76,66
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5127,491,922,287,1901,362,0,17,0,17,0,17,2189,472,115,86,88,80,27,25
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2420,356,1060,316,742,272,0,12,26,26,0,12,527,185,65,65,14,24,51,59
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8523,724,1095,404,3120,487,0,17,128,155,0,17,3850,762,330,303,176,172,154,243
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4779,568,1669,424,1892,497,47,35,0,12,0,12,1106,390,65,79,0,12,65,79
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",4785,416,2068,415,1091,272,16,26,151,147,0,12,1313,416,146,116,120,98,26,43
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3100,272,917,305,1673,398,0,12,0,12,0,12,478,273,32,30,24,28,8,13
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4703,535,1349,501,1605,417,30,46,0,12,0,12,1609,431,110,85,58,62,52,61
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5853,613,196,123,4268,572,21,34,17,28,0,17,1099,394,252,206,218,202,34,42
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1253,180,294,142,378,165,0,12,16,21,0,12,564,189,1,5,0,12,1,5
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3676,356,1314,404,1585,358,0,12,0,12,0,12,705,303,72,65,61,63,11,16
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3710,410,628,242,969,183,0,12,0,12,0,12,1939,416,174,154,79,81,95,123
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",225,186,47,69,13,16,0,12,0,12,0,12,165,176,0,12,0,12,0,12
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",1454,252,201,105,727,291,0,12,2,4,0,12,484,276,40,58,40,58,0,12
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",6706,674,3012,559,1374,533,33,53,288,307,0,17,1999,590,0,17,0,17,0,17
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",1414,274,425,139,197,147,74,98,316,157,0,12,147,77,255,250,46,37,209,249
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",6311,706,2125,681,2637,597,46,61,81,125,0,17,1318,383,104,118,26,25,78,115
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",6752,743,777,314,3213,568,0,17,0,17,0,17,2481,782,281,281,172,254,109,102
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",5036,480,1224,342,1835,502,58,75,0,17,10,16,1748,399,161,129,114,111,47,60
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",4775,484,759,238,1943,408,9,14,317,305,0,12,1344,485,403,260,362,257,41,43
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",1985,620,359,182,504,147,10,17,0,12,0,12,1106,633,6,14,6,14,0,12
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",4223,433,701,301,1082,266,50,63,182,175,0,12,1921,471,287,222,147,153,140,163
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",4897,499,526,374,2323,502,0,12,15,29,0,12,1800,483,233,169,212,160,21,28
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",5646,638,618,283,1301,508,330,383,80,91,0,17,2935,708,382,265,270,254,112,109
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",5428,406,929,296,2756,409,32,53,10,22,0,17,1598,423,103,78,76,65,27,43
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",1877,246,214,132,616,190,0,12,73,112,0,12,697,169,277,209,271,212,6,9
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",3538,486,194,120,2029,320,44,60,0,12,0,12,997,385,274,169,259,167,15,24
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",5840,815,908,362,1689,489,0,17,80,88,0,17,2543,757,620,366,475,318,145,174
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",2308,293,268,113,846,254,0,12,25,36,0,12,886,328,283,156,249,146,34,38
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",2600,437,522,209,879,376,49,88,0,12,0,12,1150,426,0,12,0,12,0,12
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",1503,357,139,86,228,158,0,12,9,13,0,12,1103,314,24,36,24,36,0,12
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",3569,367,105,76,3115,328,0,12,6,10,0,12,224,112,119,90,30,48,89,70
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",7244,833,565,225,2950,789,14,24,0,17,0,17,2742,786,973,595,550,468,423,391
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",5447,532,1566,474,1709,396,94,67,273,113,0,17,1679,582,126,93,126,93,0,17
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",4021,626,542,249,1605,430,36,58,204,262,0,12,1457,530,177,132,167,133,10,17
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",5588,712,878,332,2080,574,0,17,117,76,0,17,2479,585,34,34,7,14,27,31
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",7697,959,1509,596,2714,870,309,361,19,32,0,17,2967,867,179,137,147,134,32,41
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",2964,470,479,258,1026,267,0,12,121,122,0,12,1053,477,285,228,253,232,32,81
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",6915,539,1343,504,3331,463,78,84,6,13,0,17,1852,562,305,250,205,216,100,93
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",4326,496,587,320,1321,461,37,57,250,163,0,12,1879,511,252,209,87,63,165,201
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",2268,429,341,188,1178,376,151,91,7,11,0,12,536,260,55,47,28,46,27,27
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",5764,567,1034,330,925,371,0,17,1307,402,0,17,1924,635,574,370,285,211,289,319
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",3886,430,1199,511,1004,334,11,15,0,12,0,12,1648,592,24,35,22,34,2,9
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",4085,428,806,283,1165,331,0,12,38,49,0,12,1981,548,95,77,30,35,65,65
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",4394,539,753,276,1637,376,0,12,12,19,0,12,1860,467,132,79,100,72,32,39
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",5638,697,886,359,1596,413,96,72,138,125,0,17,2481,712,441,240,212,140,229,190
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",1887,171,380,177,524,182,0,12,55,84,0,12,925,246,3,19,0,12,3,19
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",6978,996,930,327,1656,758,0,17,658,339,0,17,3045,749,689,323,536,341,153,134
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",6385,742,1443,563,2284,597,0,17,0,17,0,17,2535,710,123,117,91,96,32,37
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",5355,681,973,373,1831,530,11,17,0,17,11,18,2300,645,229,138,100,78,129,104
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",2470,475,444,224,830,288,59,66,23,39,0,12,1023,391,91,66,33,37,58,54
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",5650,655,803,309,1894,464,0,17,73,116,10,16,2742,685,128,100,97,89,31,42
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",3833,406,971,304,961,274,0,12,0,12,0,12,1823,486,78,77,16,28,62,72
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",6072,693,1071,384,1342,352,0,17,0,17,0,17,3416,848,243,130,191,112,52,55
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",3101,466,621,236,706,388,21,43,10,18,0,12,1337,367,406,321,118,104,288,264
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",3773,426,1229,536,968,308,4,10,302,283,0,12,1266,412,4,8,4,8,0,12
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",5230,568,566,179,532,169,9,14,764,293,0,17,3262,560,97,61,65,47,32,39
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",6578,688,2371,604,2062,544,7,13,6,13,0,17,1807,453,325,203,145,109,180,141
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",2469,426,546,228,421,213,17,26,252,221,0,12,1132,335,101,82,62,69,39,48
