GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",1235,269
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1789,463
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1724,383
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1901,455
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",843,231
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",1876,575
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",846,298
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1458,446
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",701,299
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1111,335
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",344,244
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",488,199
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1059,378
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",443,165
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",50,51
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",284,146
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1721,600
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",560,272
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",1981,752
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",1685,470
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",973,308
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",657,174
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",449,183
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",781,305
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",533,279
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",1287,438
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",789,249
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",409,172
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",195,108
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",1196,461
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",398,223
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",673,318
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",144,67
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",257,108
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",1070,399
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",1343,359
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",832,335
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",783,229
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",1115,740
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",621,261
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",990,426
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",978,498
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",358,142
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",1259,429
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",335,224
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",1031,302
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",694,234
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",1405,410
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",260,136
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",1437,443
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",1179,475
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",724,274
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",408,165
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",816,247
