GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",7503,365,933,187,4697,297,14,18,135,62,0,16,1612,232,112,52,64,41,48,33
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",5251,650,2282,651,1302,469,0,16,147,155,0,16,1252,443,268,224,7,13,261,222
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5980,462,2593,501,2019,441,19,28,57,50,0,16,1127,375,165,102,0,16,165,102
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",6056,600,2623,547,2185,547,0,16,0,16,0,16,1149,537,99,85,44,54,55,65
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2682,310,452,126,994,223,0,11,50,33,0,11,1061,204,125,75,61,54,64,54
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",9131,912,3012,776,4120,838,165,156,243,204,0,16,1416,582,175,174,162,175,13,32
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4824,434,862,276,1978,479,95,65,0,11,0,11,1765,418,124,76,77,56,47,50
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",123,175,58,82,65,93,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5651,498,889,335,1175,227,0,16,189,167,0,16,3235,567,163,111,135,108,28,32
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3034,322,384,194,1049,245,0,11,0,11,0,11,1543,339,58,51,42,49,16,19
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4684,513,682,345,1703,368,55,93,0,11,0,11,2181,605,63,58,41,44,22,35
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5350,504,601,420,3464,536,0,16,37,53,0,16,704,454,544,391,284,316,260,240
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1744,212,281,132,627,176,0,11,35,36,0,11,701,212,100,101,0,11,100,101
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3855,484,468,171,1337,330,89,130,0,11,0,11,1880,390,81,76,7,13,74,74
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3935,348,368,177,1173,230,25,28,0,11,0,11,2276,398,93,91,89,90,4,23
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",279,99,88,69,60,41,0,11,0,11,0,11,131,68,0,11,0,11,0,11
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",1246,243,516,212,507,219,0,11,15,16,0,11,193,156,15,18,6,10,9,15
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",6487,727,1152,576,944,346,89,101,0,16,0,16,4302,830,0,16,0,16,0,16
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",1489,181,370,128,159,93,0,11,280,190,0,11,609,173,71,43,36,35,35,28
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",6208,505,981,509,1704,513,0,16,31,43,0,16,3107,717,385,336,172,272,213,243
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",7848,833,2137,657,4147,1043,70,118,191,189,0,16,1188,513,115,78,29,32,86,76
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",6021,458,636,227,1895,419,49,57,34,64,0,16,3247,534,160,168,17,19,143,165
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",4827,452,617,229,1875,343,24,34,142,129,0,11,1976,487,193,160,151,155,42,41
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",1976,251,892,221,786,287,8,14,0,11,0,11,257,159,33,38,19,28,14,23
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",4504,468,656,329,1109,309,21,26,0,11,0,11,2387,445,331,292,120,102,211,285
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",5181,538,541,226,1738,374,75,98,18,25,0,16,2395,528,414,215,352,193,62,68
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",5687,551,880,369,1443,346,162,153,78,86,0,16,2967,572,157,94,61,55,96,77
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",5676,476,560,191,1684,351,77,127,24,35,0,16,3178,456,153,146,115,142,38,42
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",2368,241,418,204,630,137,35,45,9,13,0,11,1129,182,147,109,121,107,26,26
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",3866,318,451,198,1987,260,34,54,6,9,0,11,1244,295,144,106,64,62,80,88
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",6292,648,1144,516,1607,399,33,51,128,123,0,16,2931,779,449,253,346,231,103,120
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",2614,277,403,203,723,214,0,11,53,45,0,11,1292,281,143,84,137,84,6,10
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",2746,363,454,221,699,239,0,11,33,51,0,11,1352,370,208,220,28,43,180,214
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",1269,141,161,79,248,108,0,11,31,34,0,11,829,127,0,11,0,11,0,11
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",3878,424,216,127,2998,453,0,11,20,32,0,11,457,311,187,134,19,28,168,132
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",7386,774,894,428,2865,583,81,66,152,142,0,16,3090,843,304,186,189,159,115,97
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",4291,482,873,261,1219,312,61,49,174,111,0,11,1830,385,134,73,49,44,85,57
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",3266,383,727,302,1159,274,31,49,183,189,0,11,1007,322,159,176,0,11,159,176
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",5609,593,517,225,1810,487,0,16,86,92,0,16,3001,631,195,188,176,187,19,21
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",7597,830,348,240,2429,724,82,111,0,16,75,113,4417,928,246,187,121,111,125,153
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",3358,468,270,154,1402,323,24,41,296,159,0,11,1156,544,210,177,149,156,61,83
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",8672,980,882,454,3529,699,17,31,150,176,0,16,3733,834,361,389,17,27,344,387
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",4889,463,1104,428,1142,300,35,54,352,227,0,11,2108,487,148,214,2,5,146,214
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",2544,204,317,132,946,212,7,11,41,37,0,11,1148,283,85,53,30,35,55,42
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",5563,636,944,337,1133,587,85,118,1322,302,0,16,1544,482,535,339,96,85,439,337
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",4046,489,302,219,1698,415,3,6,0,11,40,76,1928,678,75,78,13,21,62,75
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",3701,354,1410,410,1182,290,0,11,7,12,0,11,988,360,114,71,48,36,66,58
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",6043,478,489,175,2863,458,155,158,0,16,0,16,2329,526,207,125,191,120,16,18
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",5013,501,1222,351,1382,243,8,16,416,238,0,16,1772,558,213,164,109,99,104,98
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",2040,220,301,116,523,152,9,15,0,11,0,11,1152,263,55,45,32,28,23,35
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",6535,776,1844,583,1230,540,0,16,584,348,0,16,2727,784,150,130,137,136,13,21
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",6693,649,617,234,1936,492,0,16,0,16,38,59,3990,748,112,83,41,44,71,67
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",6887,661,643,256,1343,520,9,13,262,274,13,20,4400,531,217,142,107,77,110,111
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",2528,277,779,230,952,256,0,11,158,128,0,11,533,193,106,76,20,20,86,69
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",6406,748,416,168,1445,512,7,15,62,96,0,16,4327,803,149,73,103,62,46,49
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",3849,417,1485,393,1144,289,0,11,130,116,0,11,950,379,140,140,116,138,24,30
