GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",1892,260
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",642,319
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",869,310
1400000US36005000500,36005000500,"Census Tract 5, Bronx County, New York",0,123
1400000US36005001100,36005001100,"Census Tract 11, Bronx County, New York",61,58
1400000US36005001500,36005001500,"Census Tract 15, Bronx County, New York",0,123
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1120,328
1400000US36005001700,36005001700,"Census Tract 17, Bronx County, New York",470,211
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",1277,408
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1861,463
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,123
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1733,482
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",368,214
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1117,411
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",323,163
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",123,75
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",837,303
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1167,390
1400000US36005003600,36005003600,"Census Tract 36, Bronx County, New York",1177,707
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",128,103
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",233,193
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",3167,910
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",399,212
1400000US36005004002,36005004002,"Census Tract 40.02, Bronx County, New York",0,123
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",1625,513
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",1023,355
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",788,298
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",191,94
1400000US36005004700,36005004700,"Census Tract 47, Bronx County, New York",932,285
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",761,306
1400000US36005004900,36005004900,"Census Tract 49, Bronx County, New York",169,180
1400000US36005005000,36005005000,"Census Tract 50, Bronx County, New York",1244,523
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",373,274
1400000US36005005301,36005005301,"Census Tract 53.01, Bronx County, New York",30,46
1400000US36005005302,36005005302,"Census Tract 53.02, Bronx County, New York",382,230
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",696,264
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",219,164
1400000US36005005700,36005005700,"Census Tract 57, Bronx County, New York",438,313
1400000US36005005800,36005005800,"Census Tract 58, Bronx County, New York",0,123
1400000US36005005901,36005005901,"Census Tract 59.01, Bronx County, New York",1163,380
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",555,215
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",91,71
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",158,114
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",777,276
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",375,192
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",809,335
1400000US36005006600,36005006600,"Census Tract 66, Bronx County, New York",715,311
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",1202,475
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",533,270
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",1436,545
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",523,254
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",512,304
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",742,224
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",1218,405
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",601,261
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",755,297
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",451,238
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",993,297
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",1541,543
1400000US36005008100,36005008100,"Census Tract 81, Bronx County, New York",0,123
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",2091,799
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",492,269
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",960,387
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",839,292
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",740,349
1400000US36005008800,36005008800,"Census Tract 88, Bronx County, New York",597,249
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",703,219
1400000US36005009100,36005009100,"Census Tract 91, Bronx County, New York",0,123
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",850,311
1400000US36005009400,36005009400,"Census Tract 94, Bronx County, New York",459,273
1400000US36005009700,36005009700,"Census Tract 97, Bronx County, New York",0,123
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1689,471
1400000US36005009900,36005009900,"Census Tract 99, Bronx County, New York",2104,534
1400000US36005010200,36005010200,"Census Tract 102, Bronx County, New York",141,220
1400000US36005010500,36005010500,"Census Tract 105, Bronx County, New York",331,270
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",169,108
1400000US36005011501,36005011501,"Census Tract 115.01, Bronx County, New York",355,127
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",1720,539
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",4458,577
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",874,358
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",711,358
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",149,123
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",592,240
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",400,205
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",701,291
1400000US36005012702,36005012702,"Census Tract 127.02, Bronx County, New York",562,396
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",947,399
1400000US36005012902,36005012902,"Census Tract 129.02, Bronx County, New York",203,178
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",962,245
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",516,252
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",3388,609
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",190,139
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",182,127
1400000US36005013700,36005013700,"Census Tract 137, Bronx County, New York",370,195
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",1402,303
1400000US36005013900,36005013900,"Census Tract 139, Bronx County, New York",162,97
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",768,264
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",4,7
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",1209,508
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",228,149
1400000US36005014700,36005014700,"Census Tract 147, Bronx County, New York",791,331
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",298,140
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",403,210
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",234,151
1400000US36005015400,36005015400,"Census Tract 154, Bronx County, New York",467,173
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",382,187
1400000US36005015600,36005015600,"Census Tract 156, Bronx County, New York",853,330
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",321,245
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",988,275
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",4278,570
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",564,241
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",1574,279
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",53,61
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",1079,191
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",173,150
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",1932,362
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",105,167
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",114,76
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",0,123
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",546,222
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",416,215
1400000US36005017700,36005017700,"Census Tract 177, Bronx County, New York",766,383
1400000US36005017900,36005017900,"Census Tract 179, Bronx County, New York",1069,430
1400000US36005018100,36005018100,"Census Tract 181, Bronx County, New York",662,323
1400000US36005018300,36005018300,"Census Tract 183, Bronx County, New York",948,376
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",3375,524
1400000US36005018700,36005018700,"Census Tract 187, Bronx County, New York",0,123
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",756,275
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",480,231
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",570,204
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",850,463
1400000US36005019600,36005019600,"Census Tract 196, Bronx County, New York",197,130
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",1266,566
1400000US36005019800,36005019800,"Census Tract 198, Bronx County, New York",925,306
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",417,196
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",281,183
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",383,180
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",994,339
1400000US36005020500,36005020500,"Census Tract 205, Bronx County, New York",967,384
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",740,393
1400000US36005020602,36005020602,"Census Tract 206.02, Bronx County, New York",344,323
1400000US36005020800,36005020800,"Census Tract 208, Bronx County, New York",690,302
1400000US36005021000,36005021000,"Census Tract 210, Bronx County, New York",1975,394
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",396,232
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",693,229
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",169,120
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",619,276
1400000US36005021400,36005021400,"Census Tract 214, Bronx County, New York",157,123
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",428,201
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",478,229
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",871,255
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",650,272
1400000US36005021701,36005021701,"Census Tract 217.01, Bronx County, New York",395,231
1400000US36005021702,36005021702,"Census Tract 217.02, Bronx County, New York",24,36
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",925,424
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",116,89
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",166,105
1400000US36005022100,36005022100,"Census Tract 221, Bronx County, New York",1165,523
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",901,314
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",1051,301
1400000US36005022402,36005022402,"Census Tract 224.02, Bronx County, New York",3199,571
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",935,412
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",506,241
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",219,198
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",146,107
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",1851,328
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",429,155
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",452,227
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",973,368
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",221,174
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",1261,359
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",339,195
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",296,153
1400000US36005023400,36005023400,"Census Tract 234, Bronx County, New York",1016,296
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",506,263
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",685,224
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",544,249
1400000US36005023701,36005023701,"Census Tract 237.01, Bronx County, New York",1692,779
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",351,271
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",920,410
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",729,280
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",962,333
