GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36061013800,36061013800,"Census Tract 138, New York County, New York",12771,1014,11278,981,173,155,14,24,897,306,0,18,16,26,393,254,0,18,393,254
1400000US36061013900,36061013900,"Census Tract 139, New York County, New York",7797,914,6139,861,330,293,0,16,843,416,0,16,244,261,241,183,0,16,241,183
1400000US36061014000,36061014000,"Census Tract 140, New York County, New York",7633,576,6777,525,70,55,0,16,663,255,0,16,32,44,91,76,0,16,91,76
1400000US36061014200,36061014200,"Census Tract 142, New York County, New York",4288,512,3944,467,14,15,44,57,94,77,0,11,39,50,153,152,6,14,147,151
1400000US36061014300,36061014300,"Census Tract 143, New York County, New York",4,10,1,3,2,5,0,11,0,11,0,11,0,11,1,3,0,11,1,3
1400000US36061014401,36061014401,"Census Tract 144.01, New York County, New York",4956,470,4504,456,16,25,0,11,341,187,0,11,65,87,30,34,0,11,30,34
1400000US36061014402,36061014402,"Census Tract 144.02, New York County, New York",7537,521,6414,577,313,211,0,16,611,172,0,16,0,16,199,153,0,16,199,153
1400000US36061014500,36061014500,"Census Tract 145, New York County, New York",5460,847,4370,816,169,88,0,16,721,209,0,16,57,60,143,104,11,18,132,110
1400000US36061014601,36061014601,"Census Tract 146.01, New York County, New York",4404,371,3869,330,53,45,49,73,359,217,0,11,7,15,67,47,0,11,67,47
1400000US36061014602,36061014602,"Census Tract 146.02, New York County, New York",7728,694,6643,686,157,119,0,16,769,332,0,16,121,125,38,45,0,16,38,45
1400000US36061014700,36061014700,"Census Tract 147, New York County, New York",2804,283,1895,245,57,48,0,11,683,159,5,8,67,90,97,57,27,29,70,49
1400000US36061014801,36061014801,"Census Tract 148.01, New York County, New York",2933,300,2388,276,52,79,15,24,308,115,0,11,80,65,90,67,9,13,81,65
1400000US36061014802,36061014802,"Census Tract 148.02, New York County, New York",7125,586,5997,501,89,141,0,16,658,320,0,16,23,39,358,265,14,23,344,264
1400000US36061014900,36061014900,"Census Tract 149, New York County, New York",5897,696,4864,577,106,82,5,9,745,258,16,24,35,39,126,130,17,36,109,128
1400000US36061015001,36061015001,"Census Tract 150.01, New York County, New York",2182,239,1884,226,89,103,0,11,159,101,0,11,0,11,50,55,0,11,50,55
1400000US36061015002,36061015002,"Census Tract 150.02, New York County, New York",5461,610,5207,619,28,35,0,16,108,98,0,16,37,43,81,85,35,29,46,77
1400000US36061015100,36061015100,"Census Tract 151, New York County, New York",7480,823,4245,750,815,388,21,33,1338,376,0,16,626,412,435,317,190,254,245,172
